Salumificio Da Pian\Via Internati 1943 - 1945, 12, 31057 Silea TV\https://www.dapian.it/le-specialita/\0422 362477\info@dapian.it\TV\
Pagotto Carni Macelleria Gastronomia Salumificio\Via Grande di Pezzan, 52, 31030 Pezzan TV\https://www.pagottocarni.it/\0422 397378\pagotto.carni@libero.it\TV\
La Salumeria di Eustacchio\Via Maffeo Pantaleoni, 1, 31030 Dosson TV\http://www.salumeria-eustacchio.it/\0422 491659\salumeria-eustacchio@tecnopec.it info@salumeria-eustacchio.it\TV\
Salumificio Roncadese\Via F. Manera, 21, 31056 Roncade TV\http://www.salumificioroncadese.it/\0422 840725\\TV\
Latte e... formaggi, salumi e piaceri alimentari\Via Sant'Antonino, 110, 31100 Treviso TV\http://www.lattee.it/\0422 320716\info@lattee.it\TV\
Salumificio Bianco Angelo\Via Roma Fraz. Solighetto, 14, 31053 Pieve di Soligo TV\https://www.salumificiobianco.com/\0438 82805\info@salumificiobianco.com\TV\
Macelleria Stecca Gastronomia\Borgo Camillo Benso Conte di Cavour, 4, 31100 Treviso TV\http://www.macelleriastecca.it/\0422 541764\macelleriastecca@gmail.com\TV\
Becher S.p.a\Via Postumia, 36, 31050 Ponzano Veneto TV\https://www.becher.it/\0422 9613\info@becher.it\TV\
Salumificio e ingrosso carni Toresan\Via Talponera, 66/a, 31050 Ponzano Veneto TV\http://www.toresan.it/\0422 523296\\TV\
Becher Spa\Via Postumia, 36-Amministrazione Via Povegliano, 46-Commerciale, 31050 Ponzano TV\http://www.becher.it/\0422 9613\info@becher.it\TV\
Salumificio Piovesan S.r.l.\Via Cal Lusent, 55, 31040 Pederobba TV\http://www.salumificiopiovesan.com/\0423 688718\info@salumificiopiovesan.com\TV\
Salumificio Stecca Srl\Via del Cristo, 11C, 31044 Montebelluna TV\http://www.salumificiostecca.it/\0423 86270\salumificiosteccasrl@gmail.com\TV\
Latte e..\Via Sant'Antonino, 110, 31100 Treviso TV\https://www.lattee.it/\0422 320716\info@lattee.it\TV\
Torresan Salumi\Via Ivo Lollini, 16, 31035 Crocetta del Montello TV\https://www.salumitorresan.it/\0423 84845\info@salumitorresan.it\TV\
Agricola Pozzebon\Via Nazionale, 70, 31050 Vedelago TV\\0423 400342\\TV\
Spaccio Carni Fedalto Odino\Via Pitter, 1, 31055 Quinto di Treviso TV\\0422 379546\\TV\
Salumificio Follinese\Via dei Cavalli, 6, 31051 Follina TV\\\\TV\
SALUMIFICIO SPADER\Via Europa Unita, 13, 31010 Mosnigo TV\https://salumificio-spader.business.site/\0438 189 5591\\TV\
Salumi De Stefani Srl\Str. di Guia, 31, 31049 Valdobbiadene TV\https://www.salumidestefani.it/\0423 901065\\TV\
Spaccio Becher\Via Roma, 1, 31050 Ponzano TV\https://www.becher.it/spaccio-becher/\0422 961499\Spaccio-carousel-2-600x600@2x.jpg Spaccio-carousel-1-600x600@2x.jpg Spaccio-carousel-4-600x600@2x.jpg Spaccio-carousel-3-600x600@2x.jpg info@becher.it Spaccio-carousel-6-600x600@2x.jpg Spaccio-carousel-5-600x600@2x.jpg\TV\
Salumi e Formaggi Torresan Roberto & C.\Via Erizzo, 52, 31030 Crocetta del Montello TV\https://www.salumitorresan.it/\338 696 4130\info@salumitorresan.it\TV\
Salumificio San Giacomo S.n.c. di Canton Liviano e Canton Pierangelo\Via Cal de Livera, 72, 31029 Vittorio Veneto TV\http://www.salumificiosangiacomo.com/\0438 501083\info@salumificiosangiacomo.com\TV\
Salumificio Artigianale Celotto\Via Misquile, 13, 31030 Borso del Grappa TV\http://www.salumeriaonline.it/\0423 561703\\TV\
Pianeta Alimentare S.R.L.\Via Monte Grappa, 33/35, 31020 Vidor TV\http://www.pianetalimentare.com/\0423 987151\info@pianetalimentare.it amministrazione@pianetalimentare.it\TV\
MACELLERIA MARTINI MARIO POSTIOMA\Via G. Toniolo, 21, 31038 Postioma TV\\0422 99016\\TV\
Zucchello Emporium\Via di S. Pelaio, 135, 31100 Treviso TV\http://www.zucchello.it/\0422 301171\\TV\
Capponi R. & Spolaor O. srl\Via Foresto Sud, 13, 31025 Area Insediamenti Produttivi Lovera TV\https://www.capponispolaor.it/\0438 435505\info@capponispolaor.it\TV\
Azienda agricola Berton\Via Lauro, 39B, 31011 Lauro TV\\0423 564247\\TV\
Macelleria Gastronomia Torresan Roberto & C.\Via Giuseppe Mazzini, 5, 31040 Trevignano TV\https://www.salumitorresan.it/\342 104 9698\info@salumitorresan.it\TV\
Cinque Stelle Srl - Carni E Salumi\Via F. Filzi, 56, 31036 Istrana TV\\0422 832635\\TV\
Salumificio Lanzarini\Strada S. Rocco, 47, 36061 Bassano del Grappa VI\http://lanzarini.it/\0424 566478\\VI\
Ca' Donadel\Via del Molino, 25, 31021 Campocroce TV\http://www.cadonadel.it/\331 866 3646\\TV\
CONSORZIO SALUMI VENETI\Via Vittorio Emanuele Orlando, 11, 35129 Padova PD\http://salumidellamarca.it/\\\PD\
Salumificio Micad - Produzione\Via degli Alpini, 10, 36056 Belvedere VI\http://www.salumificiomicad.it/\0424 561138\info@salumificiomicad.it\VI\
Salumeria Marcon\Str. delle Bruscole, 11, 31015 Conegliano TV\http://salumeriamarcon.myadj.it/v/salumeriamarcon\0438 788095\marconsalumeria@hotmail.it\TV\
Azienda Agricola San Martino\Via Castelli, 3D, 31040 Pederobba TV\\351 739 6101\\TV\
Salumeria Miatto dal 1940\Via Ungheresca, 1/C, 31025 Santa Lucia di Piave TV\\0438 701783\\TV\
Azienda Agricola Zago Flavia\Via Castagnera, 28, 31038 Castagnera Alta TV\\0422 99316\\TV\
Trevigiana Carni Di Scapin Giovanni & C. (S.N.C.)\Via Campagna, 128, 31037 Ramon-campagna TV\http://www.trevigianacarni.it/\0423 475237\\TV\
Macelleria Torresan Roberto & C.\P.za Luigi Negrelli, 23, 31044 Montebelluna TV\https://www.salumitorresan.it/\0423 370464\info@salumitorresan.it\TV\
Azienda agricola Dario Luigina\Vicolo S. Felice, 11, 31020 San Vendemiano TV\https://www.pplveneto.it/aziende-partecipanti/treviso/dario-luigina/\0438 777728\giovanni.sava@aulss1.veneto.it andrea.girardi@aulss4.veneto.it sian@aulss7.veneto.it comunicazione@izsvenezie.it roberto.beltrame@aulss5.veneto.it gianluigi.borsatti@aulss3.veneto.it celeste.schiavon@aulss6.veneto.it saia@regione.veneto.it elisa.finco@aulss9.veneto.it mariano.meneghello@aulss7.veneto.it ppl@aulss8.veneto.it doris.bovo@aulss2.veneto.it silvano.tassini@aulss9.veneto.it luca.buffon@aulss2.veneto.it marianna.elia@aulss3.veneto.it domenico.depalma@aulss6.veneto.it andrea.chiamenti@aulss8.veneto.it damiano.comin@aulss1.veneto.it andrea.tamai@aulss4.veneto.it luiginagabriella@gmail.com annalisa.calvi@aulss7.veneto.it alfio.gallo@aulss6.veneto.it\TV\
Salumificio Dei Castelli S.R.L.\Str. del Capitello, 13, 36075 Montecchio Maggiore-Alte Ceccato VI\\0444 492627\\VI\
Micad SNC di Marcon Giancarlo & C\Via A. De Gasperi, 46, 36056 Tezze sul Brenta VI\\\\VI\
Macelleria D'Altoe' Roberto\Via Corradini, 1, 31020 Refrontolo TV\http://www.macelleriadaltoe.com/\0438 978010\info@macelleriadaltoe.com\TV\
